Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
CLYM,"Climb Bio, Inc. - Common Stock",12.7,99.8,-9.3,11.86,8.08,6.54,14.0,1.4
ERAS,"Erasca, Inc. - Common Stock",19.17,99.8,-14.7,14.31,12.58,10.08,22.47,1.39
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",13.19,99.8,-14.6,9.45,5.99,4.93,15.45,1.39
AGL,"agilon health, inc. Common Stock",129.84,99.7,0.0,97.76,44.69,38.54,129.84,7.91
MAAS,Maase Inc. - Class A Ordinary Shares,19.76,99.7,-7.0,13.31,8.54,7.32,21.24,2.86
BAND,Bandwidth Inc. - Class A Common Stock,71.81,99.7,-8.5,60.71,31.61,27.51,78.44,12.82
CHRN,ChronoScale Holdings Corporation - Common Stock,26.43,99.7,-10.8,19.15,12.66,10.7,29.63,2.98
ANRO,"Alto Neuroscience, Inc. Common Stock",27.54,99.6,-1.9,23.25,21.02,18.47,28.07,2.73
EVC,Entravision Communications Corporation Common Stock,10.69,99.6,-20.7,9.92,5.39,4.63,13.48,1.91
STTK,"Shattuck Labs, Inc. - Common Stock",7.53,99.5,-4.4,5.95,5.38,4.57,7.88,0.73
ALMS,Alumis Inc. - Common Stock,28.66,99.5,-5.4,24.05,23.14,18.78,30.3,3.31
ATEX,Anterix Inc. - Common Stock,100.35,99.5,-7.3,77.04,47.6,40.81,108.21,17.99
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",22.16,99.4,-16.4,20.14,11.55,9.91,26.51,3.14
KOD,Kodiak Sciences Inc - Common Stock,42.64,99.4,-8.2,37.14,32.49,29.0,46.44,5.08
SYRE,"Spyre Therapeutics, Inc. - Common Stock",100.23,99.4,-1.8,82.4,56.42,48.26,102.07,14.82
SLGL,Sol-Gel Technologies Ltd. - Ordinary Shares,83.2,99.3,-15.1,73.31,70.0,61.83,97.97,8.13
RLYB,Rallybio Corporation - Common Stock,16.42,99.3,-2.7,15.47,9.96,8.69,16.87,3.44
LQDA,Liquidia Corporation - Common Stock,79.94,99.2,-1.9,66.81,46.93,41.85,81.45,14.54
ORKA,"Oruka Therapeutics, Inc. - Common Stock",92.7,99.2,-2.6,72.12,51.65,45.47,95.17,13.05
PRAX,"Praxis Precision Medicines, Inc. - Common Stock",314.41,99.1,-12.0,312.5,310.0,271.59,357.13,37.71
MBX,"MBX Biosciences, Inc. - Common Stock",62.92,99.1,-4.2,42.47,36.09,32.65,65.71,9.74
ALTO,"Alto Ingredients, Inc. - Common Stock",5.84,99.1,-2.5,5.26,4.13,3.5,5.99,0.92
ANTX,"AN2 Therapeutics, Inc. - Common Stock",4.68,99.1,-14.3,4.59,3.1,2.62,5.46,1.03
SIF,"SIFCO Industries, Inc. Common Stock",22.5,99.0,-12.5,20.93,14.15,12.31,25.71,4.49
ROMA,Roma Green Finance Limited - Class A Ordinary Shares,9.28,98.9,-10.3,7.81,5.01,4.44,10.34,1.3
DELL,Dell Technologies Inc. Class C Common Stock ,396.34,98.8,-14.9,365.37,220.01,200.77,465.96,110.73
RLAY,"Relay Therapeutics, Inc. - Common Stock",19.91,98.8,-4.0,15.76,12.01,10.7,20.75,3.22
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,13.55,98.6,-0.2,10.65,8.15,7.1,13.57,2.9
VNCE,Vince Holding Corp. - Common Stock,6.44,98.6,-18.2,5.48,3.93,3.65,7.87,1.42
ALOT,"AstroNova, Inc. - Common Stock",28.62,98.6,0.0,20.71,13.44,12.31,28.62,7.01
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",105.6,98.5,0.0,88.95,71.66,63.19,105.6,18.76
TXG,"10x Genomics, Inc. - Common Stock",43.74,98.5,-4.5,31.54,23.93,21.62,45.79,11.34
RVMD,"Revolution Medicines, Inc. - Common Stock",186.16,98.5,-3.4,163.7,124.3,108.51,192.62,34.7
BIOA,"BioAge Labs, Inc. - Common Stock",22.81,98.4,-9.1,19.72,18.5,15.76,25.1,4.12
TNGX,"Tango Therapeutics, Inc. - Common Stock",28.56,98.3,-13.2,26.51,19.13,16.48,32.9,6.04
VSTS,Vestis Corporation Common Stock,16.5,98.2,0.0,13.0,9.46,8.46,16.5,4.06
SILC,Silicom Ltd - Ordinary Shares,44.06,98.1,-13.6,43.7,28.06,25.07,50.98,13.5
PVLA,"Palvella Therapeutics, Inc. - Common Stock",157.24,98.0,0.0,125.08,114.29,105.88,157.24,29.51
IMMX,"Immix Biopharma, Inc. - Common Stock",10.25,98.0,-14.7,9.52,8.27,7.08,12.02,1.96
