Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,200,415,-1.6,"ACAD, ADAM, ADPT, PAYS, PBAM"
Financial Services,92,295,-1.9,"ACT, TY, BLUW, BYFC, NPAC"
Industrials,26,59,-1.8,"PESI, OESX, TBI, TPC, UHAL"
Healthcare,24,54,-1.7,"PBYI, OABI, BFRI, BLFS, CADL"
Consumer Cyclical,19,46,-2.0,"UFI, MLKN, ROST, PKG, LZB"
Technology,12,27,-1.9,"TWLO, CRSR, SAIC, HPQ, GRMN"
Basic Materials,6,10,-1.3,"RS, MAKO, AVNT, SXT, SHW"
Real Estate,6,25,-2.4,"SKYH, NREF, EFC, IRT, PSA"
Consumer Defensive,3,12,-2.2,"TGT, HNST, SPB, PFGC, CHD"
Communication Services,3,11,-2.2,"QNST, ROKU, NEXN, OMC, GSAT"
Energy,0,5,-3.4,"FTK, NAT, LPG, PSX, INSW"
Utilities,0,7,-2.6,"NWE, BKH, AWR, TXNM, ENIC"
