Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,114,278,-2.0,"ZIM, RNG, ALDF, APAC, PAII"
Financial Services,50,185,-2.5,"CCAQ, FBLA, CLST, RANG, VNME"
Healthcare,15,35,-1.9,"AMRX, OPK, UTMD, MEDP, MCTA"
Technology,13,22,-1.3,"RBRK, QMCO, FFIV, FIVN, OST"
Industrials,7,20,-2.1,"GIC, CIX, CYRX, MTW, MG"
Communication Services,4,12,-2.3,"WBD, TJGC, DV, BATRA, GSAT"
Consumer Cyclical,4,7,-1.5,"JRSH, HZO, GBTG, JILL, BZH"
Utilities,2,5,-2.8,"TXNM, GNE, WTRG, NWE, BKH"
Real Estate,1,5,-3.5,"LXP, IHS, CHMI, PSTL, EQIX"
Basic Materials,0,1,-2.9,GGB
Consumer Defensive,0,2,-4.0,"ACU, KO"
Energy,0,5,-3.3,"INSW, LPG, NAT, TRGP, PSX"
