Ticker,Price,52W_High,Pct_From_52W_High,Sector
ACAD,29.21,29.21,0.0,Unknown
ACT,48.96,48.96,0.0,Financial Services
ADAM,9.82,9.82,0.0,Unknown
ADPT,24.93,24.93,0.0,Unknown
PAYS,12.48,12.48,0.0,Unknown
PBAM,85.81,85.81,0.0,Unknown
PBYI,8.91,8.91,0.0,Healthcare
PESI,18.08,18.08,0.0,Industrials
PGEN,7.23,7.23,0.0,Unknown
NTRA,322.1,322.1,0.0,Unknown
OABI,3.08,3.08,0.0,Healthcare
OBA,10.29,10.29,0.0,Unknown
OESX,19.7,19.7,0.0,Industrials
NEO,16.57,16.57,0.0,Unknown
TBI,10.2,10.2,0.0,Industrials
TDY,691.3,691.3,0.0,Unknown
TGT,149.7,149.7,0.0,Consumer Defensive
TPC,99.11,99.11,0.0,Industrials
TPR,162.36,162.36,0.0,Unknown
TWLO,241.28,241.28,0.0,Technology
TY,35.73,35.73,0.0,Financial Services
UFI,7.19,7.19,0.0,Consumer Cyclical
UHAL,75.27,75.27,0.0,Industrials
AXGN,46.43,46.43,0.0,Unknown
BFRI,1.27,1.27,0.0,Healthcare
BLFS,34.66,34.66,0.0,Healthcare
SEG,28.25,28.25,0.0,Unknown
SKYH,11.2,11.2,0.0,Real Estate
SN,185.52,185.52,0.0,Unknown
SNOW,330.49,330.49,0.0,Unknown
SWK,103.89,103.89,0.0,Industrials
BLUW,10.38,10.38,0.0,Financial Services
BOLD,2.89,2.89,0.0,Unknown
BYFC,11.13,11.13,0.0,Financial Services
NKSH,42.11,42.11,0.0,Unknown
NMP,10.33,10.33,0.0,Unknown
NPAC,10.43,10.43,0.0,Financial Services
NRIX,25.53,25.53,0.0,Unknown
NSIT,149.32,149.32,0.0,Unknown
PKOH,52.51,52.51,0.0,Unknown
PLSE,42.41,42.41,0.0,Unknown
PLTS,17.5,17.5,0.0,Unknown
PMTS,27.72,27.72,0.0,Financial Services
PUBM,17.78,17.78,0.0,Unknown
RHI,42.74,42.74,0.0,Unknown
