Ticker,Price,52W_High,Pct_From_52W_High,Sector
YCY,10.28,10.28,0.0,Unknown
WAT,430.3,430.3,0.0,Unknown
UTZ,14.24,14.24,0.0,Unknown
SBH,17.0,17.0,0.0,Unknown
RVTY,150.68,150.68,0.0,Healthcare
RSKD,7.91,7.91,0.0,Technology
RNG,79.82,79.82,0.0,Unknown
BATRK,54.06,54.06,0.0,Communication Services
BLFS,38.58,38.58,0.0,Healthcare
AUDC,10.53,10.53,0.0,Technology
BATRA,58.85,58.85,0.0,Communication Services
SOUL,10.48,10.48,0.0,Unknown
ATRC,60.77,60.77,0.0,Unknown
PRLB,92.97,92.97,0.0,Unknown
PAII,10.3,10.3,0.0,Unknown
P,121.88,121.88,0.0,Technology
NET,358.82,358.82,0.0,Technology
MTD,1519.15,1519.15,0.0,Unknown
MG,21.38,21.38,0.0,Industrials
LTC,43.36,43.36,0.0,Unknown
IQV,275.02,275.02,0.0,Healthcare
HPE,63.52,63.52,0.0,Unknown
IMAX,55.16,55.16,0.0,Unknown
HBB,37.31,37.31,0.0,Consumer Cyclical
ATKR,94.54,94.55,-0.0,Industrials
BOW,33.87,33.87,0.0,Financial Services
DT,58.68,58.68,0.0,Unknown
WCCB,60.71,60.71,0.0,Unknown
WBD,30.84,30.84,0.0,Communication Services
WEYS,47.42,47.42,0.0,Unknown
AIIA,10.28,10.28,0.0,Unknown
XRPN,10.57,10.57,0.0,Financial Services
A,172.84,172.84,0.0,Healthcare
WTG,10.59,10.59,-0.0,Unknown
XHLD,12.7,12.7,0.0,Unknown
CHEC,10.28,10.28,0.0,Unknown
CDNA,61.37,61.37,0.0,Unknown
WENN,10.41,10.41,0.0,Financial Services
TWIN,25.94,25.94,0.0,Unknown
TWST,184.03,184.03,0.0,Unknown
TXG,84.11,84.11,0.0,Unknown
UYSC,11.0,11.0,0.0,Unknown
VNCE,11.14,11.14,0.0,Consumer Cyclical
QMCO,29.49,29.49,0.0,Technology
SPEG,10.39,10.39,0.0,Unknown
SILC,51.62,51.62,0.0,Unknown
SAIH,30.0,30.0,0.0,Unknown
RDVT,79.06,79.06,0.0,Unknown
TVAI,10.4,10.4,0.0,Unknown
TKNO,9.29,9.29,0.0,Unknown
TJGC,28.2,28.2,0.0,Communication Services
TH,21.45,21.45,0.0,Unknown
TECH,72.57,72.57,0.0,Unknown
TDWD,10.13,10.13,0.0,Unknown
CYPH,4.08,4.08,0.0,Unknown
CRAQ,10.4,10.4,0.0,Unknown
CNXN,89.02,89.02,0.0,Technology
TACH,10.51,10.52,-0.0,Unknown
SVCC,10.71,10.71,0.0,Financial Services
PUBM,18.55,18.55,0.0,Unknown
PURR,14.09,14.09,0.0,Unknown
QUMS,10.34,10.34,0.0,Unknown
QNBC,45.79,45.79,0.0,Unknown
EGHA,10.4,10.4,0.0,Financial Services
RGEN,190.65,190.65,0.0,Healthcare
RANG,10.86,10.86,0.0,Financial Services
RCEL,11.58,11.58,0.0,Healthcare
OYSE,10.4,10.4,-0.0,Unknown
OST,1.7,1.7,0.0,Technology
PBYI,9.82,9.82,0.0,Healthcare
PACH,10.35,10.35,0.0,Financial Services
DMAA,10.85,10.85,0.0,Unknown
DSGR,34.95,34.96,-0.0,Unknown
DTSQ,11.5,11.5,0.0,Unknown
DYOR,10.14,10.14,0.0,Unknown
ALDF,10.83,10.83,0.0,Unknown
ADPT,29.57,29.57,0.0,Unknown
APAC,10.26,10.26,0.0,Unknown
KRT,54.16,54.16,0.0,Unknown
LKSP,10.25,10.25,0.0,Unknown
HHS,4.65,4.65,0.0,Unknown
HLP,2.2,2.2,0.0,Unknown
HQI,18.75,18.75,0.0,Industrials
OBA,10.34,10.34,0.0,Unknown
FRHC,176.37,176.37,0.0,Unknown
ORIQ,10.44,10.44,0.0,Unknown
OKTA,206.64,206.64,0.0,Unknown
FLXS,88.37,88.37,0.0,Unknown
FERA,10.54,10.54,0.0,Financial Services
NTRB,8.99,8.99,0.0,Unknown
FACT,10.73,10.73,-0.0,Unknown
MKLY,10.26,10.26,0.0,Financial Services
META,777.59,777.59,0.0,Unknown
NTRA,408.79,408.79,0.0,Unknown
NRSN,7.4,7.4,0.0,Unknown
NPAC,10.49,10.49,0.0,Financial Services
MRNA,194.82,194.82,0.0,Unknown
MNTK,2.88,2.88,0.0,Basic Materials
MLAB,137.5,137.5,0.0,Technology
GIW,10.16,10.17,-0.0,Unknown
GRAL,125.21,125.21,0.0,Unknown
MCTA,29.35,29.35,0.0,Healthcare
MASS,11.52,11.52,0.0,Healthcare
GCT,53.91,53.91,0.0,Unknown
MACI,11.05,11.05,0.0,Financial Services
MAGH,6.76,6.76,0.0,Unknown
FTNT,178.67,178.74,-0.0,Technology
GSHR,10.57,10.57,0.0,Unknown
HALO,115.22,115.22,0.0,Unknown
TISI,28.97,28.97,0.0,Unknown
AOUT,17.03,17.03,0.0,Unknown
AMD,629.26,629.26,0.0,Technology
ALIS,10.34,10.34,0.0,Financial Services
TEVA,40.22,40.22,0.0,Unknown
KCHV,10.45,10.45,0.0,Unknown
ILMN,273.9,273.9,0.0,Unknown
IOSP,96.87,96.87,0.0,Unknown
TMO,678.39,678.39,0.0,Unknown
TWLO,299.66,299.66,0.0,Technology
IOVA,10.8,10.8,0.0,Unknown
BLUW,10.37,10.38,-0.1,Financial Services
BLZR,10.22,10.23,-0.1,Unknown
COPL,10.56,10.56,-0.1,Financial Services
RNGT,10.17,10.18,-0.1,Unknown
SAFT,103.51,103.64,-0.1,Unknown
SZZL,10.49,10.5,-0.1,Unknown
JACS,10.79,10.8,-0.1,Financial Services
EVAC,10.3,10.31,-0.1,Unknown
CCAQ,10.69,10.7,-0.1,Financial Services
ACA,146.52,146.6,-0.1,Unknown
PRTH,7.79,7.8,-0.1,Unknown
MBVI,10.24,10.25,-0.1,Unknown
DRDB,10.71,10.72,-0.1,Financial Services
KFII,10.66,10.67,-0.1,Financial Services
GTERA,10.42,10.43,-0.1,Unknown
LPBB,10.83,10.84,-0.1,Financial Services
FSEA,17.18,17.2,-0.1,Financial Services
KOYN,10.23,10.24,-0.1,Unknown
LWAC,10.38,10.39,-0.1,Financial Services
AVT,100.91,101.15,-0.2,Technology
SSEA,10.37,10.39,-0.2,Unknown
EVOX,10.11,10.13,-0.2,Unknown
CHAR,10.99,11.02,-0.2,Financial Services
DMII,10.16,10.18,-0.2,Unknown
DAAQ,10.44,10.46,-0.2,Unknown
QSEA,10.64,10.66,-0.2,Unknown
ACVA,10.46,10.48,-0.2,Unknown
NMP,10.37,10.39,-0.2,Unknown
LATA,10.19,10.21,-0.2,Financial Services
RDAG,10.43,10.45,-0.2,Financial Services
SLAB,221.38,221.97,-0.3,Technology
CUB,10.88,10.91,-0.3,Financial Services
ABBV,265.12,265.97,-0.3,Healthcare
HZO,52.41,52.56,-0.3,Consumer Cyclical
VNME,10.27,10.3,-0.3,Financial Services
ITGR,126.17,126.5,-0.3,Unknown
INAC,10.36,10.39,-0.3,Unknown
RAC,10.56,10.6,-0.3,Financial Services
DNMX,10.05,10.08,-0.3,Financial Services
SDHI,10.53,10.56,-0.3,Financial Services
ALF,10.92,10.95,-0.3,Financial Services
CEPO,10.77,10.8,-0.3,Financial Services
OGN,13.72,13.78,-0.4,Healthcare
BDCI,10.15,10.2,-0.4,Unknown
LXP,60.93,61.15,-0.4,Real Estate
FBLA,16.26,16.32,-0.4,Financial Services
GBTG,9.47,9.51,-0.4,Consumer Cyclical
LCCC,10.52,10.56,-0.4,Unknown
PGAC,10.71,10.75,-0.4,Unknown
NSTS,14.11,14.16,-0.4,Financial Services
TDAC,10.86,10.9,-0.4,Unknown
LIEN,10.31,10.35,-0.4,Financial Services
BRKR,64.0,64.29,-0.4,Healthcare
LQDT,43.4,43.58,-0.4,Unknown
KMDA,8.83,8.87,-0.5,Unknown
S,23.98,24.1,-0.5,Unknown
BIIB,226.36,227.53,-0.5,Healthcare
BCSS,10.29,10.34,-0.5,Financial Services
PDEX,73.02,73.41,-0.5,Healthcare
SMTI,35.1,35.28,-0.5,Unknown
CAPN,11.25,11.32,-0.6,Financial Services
WST,373.6,375.87,-0.6,Healthcare
TAVI,10.77,10.83,-0.6,Financial Services
VREX,18.47,18.58,-0.6,Healthcare
JENA,10.43,10.49,-0.6,Financial Services
