Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
CCG,Cheche Group Inc. - Class A Ordinary Shares,12.3,100.0,-0.8,1.43,1.0,1.0,12.4,0.37
STAK,STAK Inc. - Class A Ordinary Shares,9.27,99.9,0.0,3.44,1.61,1.36,9.27,0.29
BANL,CBL International Limited - Class B Ordinary Shares,5.02,99.8,-2.7,0.83,0.6,0.58,5.16,0.29
ERAS,"Erasca, Inc. - Common Stock",19.11,99.7,-15.0,15.19,13.11,10.51,22.47,1.39
CLYM,"Climb Bio, Inc. - Common Stock",12.84,99.7,-8.3,11.98,8.4,6.81,14.0,1.4
EVC,Entravision Communications Corporation Common Stock,10.68,99.7,-20.8,10.22,5.64,4.84,13.48,1.91
STTK,"Shattuck Labs, Inc. - Common Stock",7.43,99.5,-5.7,5.99,5.51,4.69,7.88,0.73
ATEX,Anterix Inc. - Common Stock,94.0,99.5,-13.1,81.74,50.24,42.78,108.21,17.99
SIF,"SIFCO Industries, Inc. Common Stock",25.99,99.5,-0.6,21.6,14.75,12.76,26.16,4.49
SYRE,"Spyre Therapeutics, Inc. - Common Stock",102.13,99.4,-0.6,84.98,58.64,50.36,102.7,14.82
ALMS,Alumis Inc. - Common Stock,28.0,99.4,-7.6,24.51,23.71,19.4,30.3,3.86
LQDA,Liquidia Corporation - Common Stock,86.22,99.3,-3.2,70.49,48.61,43.39,89.03,17.68
MAAS,Maase Inc. - Class A Ordinary Shares,16.75,99.3,-21.1,14.14,8.99,7.67,21.24,2.86
ANRO,"Alto Neuroscience, Inc. Common Stock",26.78,99.2,-4.6,23.49,21.39,19.01,28.07,3.05
ANTX,"AN2 Therapeutics, Inc. - Common Stock",4.92,99.2,-9.9,4.63,3.22,2.71,5.46,1.03
ORKA,"Oruka Therapeutics, Inc. - Common Stock",92.16,99.2,-3.2,74.8,53.73,47.29,95.17,13.05
RLYB,Rallybio Corporation - Common Stock,16.31,99.1,-3.5,15.7,10.31,9.0,16.91,3.72
DELL,Dell Technologies Inc. Class C Common Stock ,437.5,99.1,-6.0,382.58,229.22,207.37,465.19,110.54
SLGL,Sol-Gel Technologies Ltd. - Ordinary Shares,81.96,99.0,-16.3,74.66,71.39,63.09,97.97,11.0
MBX,"MBX Biosciences, Inc. - Common Stock",62.0,99.0,-5.6,44.86,37.17,33.75,65.71,9.74
ICHR,Ichor Holdings - Ordinary Shares,86.55,98.9,-22.9,84.04,57.36,47.63,112.28,14.06
TXG,"10x Genomics, Inc. - Common Stock",46.27,98.9,-3.7,34.02,24.93,22.47,48.06,11.34
RVMD,"Revolution Medicines, Inc. - Common Stock",189.23,98.8,-1.8,167.69,127.86,111.98,192.62,34.7
ROMA,Roma Green Finance Limited - Class A Ordinary Shares,9.23,98.8,-10.7,8.02,5.24,4.59,10.34,1.3
ALOT,"AstroNova, Inc. - Common Stock",28.71,98.8,-0.5,22.14,14.13,12.77,28.84,7.01
BIOA,"BioAge Labs, Inc. - Common Stock",21.77,98.7,-13.3,20.12,18.82,16.17,25.1,4.12
RLAY,"Relay Therapeutics, Inc. - Common Stock",18.44,98.7,-11.1,16.38,12.38,11.04,20.75,3.22
BDSX,"Biodesix, Inc. - Common Stock",22.0,98.6,-10.2,18.06,14.04,12.39,24.5,5.46
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,12.5,98.5,-7.9,11.07,8.42,7.32,13.57,2.9
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",103.87,98.4,-1.7,90.6,73.71,64.86,105.72,18.76
ETON,"Eton Pharmaceuticals, Inc. - Common Stock",42.59,98.4,-3.5,34.44,24.79,22.99,44.14,14.13
